Timestamp,"A1 / GEN: Gender (1=Male, 2=Female, 3=Other, 4=Prefer not to say)",A2 / AGE: Age,A3 / MAJ: Academic Major,A4 / YEAR: Academic Year,A5 / DEVICE: How do you go online? (Select all that apply),B1: I know my phone or computer can get viruses or harmful software.,B2: I know phishing is dangerous.,B3: I am aware that 'https' is safer than 'http' in a website address.,B4: I know Nepal has an online safety law (Electronic Transactions Act).,B5: I am concerned about using open public Wi-Fi.,B6: I know that careless use of the internet can put my personal information at risk.,B7: I give high priority to using my phone or computer securely.,C1: I use one password for many accounts.,C2: I open links in emails from people I do not know.,C3: I use public Wi-Fi for banking or private work without extra protection.,C4: I download from websites I do not trust.,C5: I post my location or personal photos openly on social media.,C6: I click pop-up ads while browsing.,C7: I accept friend or chat requests from strangers online.,D1: I update security or antivirus on my devices.,D2: I check for a lock sign before I enter passwords or card details.,D3: I change my passwords from time to time.,D4: I log out when I finish on a shared or public device.,D5: I turn on two-factor authentication for important accounts when it is offered.,D6: I back up important files to another drive or cloud storage.,D7: I check who sent an email before I open links or attachments.,"E1: If hackers took my data, it would be a big problem for me.",E2: I can deal with common online dangers.,E3: Safe internet habits are important in my daily life.,E4: I would know where to report an online crime.,E5: Strong passwords are hard for me to make and remember.,E6: My university has prepared me enough for cyber risks.,"E7: If another student told me about a breach, I would be more careful."
5/10/2026 12:14:12,1 - Male,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,Smartphone,5,5,5,5,4,5,5,4,2,3,2,3,3,2,2,2,4,5,4,4,4,5,4,5,5,3,4,4
5/10/2026 12:19:54,4 - Prefer not to say,3 - 26 - 40,1 - IT/Computer Science,4 - 4th,Smartphone,5,5,5,1,5,5,5,1,5,4,4,1,1,1,1,5,5,3,5,2,4,5,5,5,1,2,1,5
5/10/2026 12:22:06,1 - Male,2 - 20–25,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",5,5,5,5,5,5,5,3,1,3,3,5,1,2,3,5,5,5,5,4,5,5,3,5,5,5,5,5
5/10/2026 12:28:24,1 - Male,2 - 20–25,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",5,5,5,4,5,4,4,3,2,3,3,4,3,3,3,3,3,4,4,5,4,4,3,5,4,4,4,4
5/10/2026 12:36:26,1 - Male,3 - 26 - 40,1 - IT/Computer Science,4 - 4th,Smartphone,2,5,5,5,5,5,5,1,1,2,2,1,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4
5/10/2026 12:48:02,1 - Male,3 - 26 - 40,1 - IT/Computer Science,4 - 4th,Laptop,5,5,5,5,5,5,5,1,1,1,1,3,1,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5
5/10/2026 12:51:32,1 - Male,2 - 20–25,1 - IT/Computer Science,5 - Post-graduate,Laptop,5,5,5,3,5,4,4,2,1,1,2,1,1,1,5,5,2,4,3,3,5,5,4,4,3,2,3,4
5/10/2026 12:54:34,1 - Male,2 - 20–25,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",5,5,5,3,4,5,4,3,1,1,2,1,1,1,4,5,3,5,3,3,5,5,3,4,3,3,3,4
5/10/2026 13:00:16,1 - Male,3 - 26 - 40,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,Smartphone,5,1,2,3,4,2,5,1,1,1,3,4,2,3,1,5,3,4,2,5,1,5,4,3,2,1,4,2
5/10/2026 13:08:37,1 - Male,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",5,5,5,5,5,5,5,3,1,4,3,1,1,1,4,4,3,5,5,5,5,4,5,5,5,4,3,5
5/10/2026 13:39:37,1 - Male,3 - 26 - 40,"2 - Non-IT Related (e.g., Humanities, Management)",4 - 4th,"Smartphone, Laptop",4,4,5,4,4,2,4,4,3,4,4,4,3,3,3,4,3,3,4,4,4,4,3,2,3,2,3,3
5/10/2026 13:51:32,1 - Male,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",2 - 2nd,"Smartphone, Laptop",5,5,4,5,5,5,4,3,3,5,5,1,3,3,4,3,2,1,5,5,4,5,5,5,5,5,1,5
5/10/2026 14:04:32,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",1 - 1st,Smartphone,5,5,4,5,4,5,5,2,2,2,1,2,2,2,5,5,5,5,5,5,5,5,5,5,4,2,3,5
5/10/2026 14:06:44,1 - Male,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",5,5,5,4,3,5,5,3,1,4,3,2,2,2,4,2,3,5,5,4,5,5,4,5,2,4,2,5
5/10/2026 14:10:40,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",2 - 2nd,"Smartphone, Laptop",4,4,4,4,2,4,2,4,2,4,3,4,1,1,2,2,4,2,4,3,4,4,2,4,4,2,2,3
5/10/2026 14:11:46,1 - Male,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",5,5,5,4,1,5,5,1,1,1,1,2,1,2,4,4,4,5,5,5,5,5,4,5,4,3,3,4
5/10/2026 14:16:59,2 - Female,3 - 26 - 40,"2 - Non-IT Related (e.g., Humanities, Management)",1 - 1st,"Smartphone, Laptop, Tablet",5,5,5,5,5,5,5,4,1,4,1,1,1,1,5,5,2,5,5,5,5,5,2,4,5,3,4,5
5/10/2026 14:17:49,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,Smartphone,5,5,2,4,5,4,5,1,1,1,1,2,2,2,4,4,4,4,5,4,4,4,4,4,4,2,4,4
5/10/2026 14:35:36,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",1 - 1st,Smartphone,4,4,3,5,4,4,3,2,2,4,2,1,3,5,4,4,3,4,4,4,4,4,3,4,4,4,3,4
5/10/2026 15:02:28,2 - Female,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",3,5,3,1,5,5,4,5,2,2,4,1,1,1,3,2,2,2,4,1,5,3,4,5,5,4,4,5
5/10/2026 15:08:51,1 - Male,2 - 20–25,1 - IT/Computer Science,4 - 4th,"Smartphone, Laptop, Tablet",5,5,5,4,1,5,4,1,1,1,1,1,1,1,3,3,3,3,3,3,3,4,3,5,4,3,2,4
5/10/2026 15:25:07,1 - Male,2 - 20–25,1 - IT/Computer Science,4 - 4th,"Smartphone, Laptop",5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5
5/10/2026 15:29:06,1 - Male,3 - 26 - 40,1 - IT/Computer Science,4 - 4th,Smartphone,5,5,1,1,3,3,3,1,1,1,3,1,1,1,5,5,5,5,5,5,5,1,5,3,5,5,1,3
5/10/2026 16:05:12,1 - Male,2 - 20–25,1 - IT/Computer Science,4 - 4th,"Smartphone, Laptop, Desktop",4,4,4,4,4,5,5,1,1,1,1,1,1,1,3,2,2,2,2,3,1,4,2,4,2,3,3,3
5/10/2026 16:05:57,1 - Male,2 - 20–25,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",5,5,5,5,5,5,3,5,1,3,2,5,1,1,5,5,5,5,5,5,5,3,5,5,3,5,3,5
5/10/2026 16:10:20,1 - Male,2 - 20–25,1 - IT/Computer Science,5 - Post-graduate,Laptop,4,5,5,3,5,5,5,5,2,2,1,1,1,1,3,4,1,5,4,3,5,5,5,5,5,3,5,5
5/10/2026 16:26:37,1 - Male,2 - 20–25,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",5,5,5,5,5,5,5,4,4,1,2,3,3,4,4,4,4,5,5,5,5,5,5,5,5,3,4,5
5/10/2026 16:57:05,1 - Male,3 - 26 - 40,"2 - Non-IT Related (e.g., Humanities, Management)",1 - 1st,"Smartphone, Laptop, Tablet",4,4,2,2,2,4,4,2,1,1,1,1,1,1,4,4,5,5,5,5,5,5,1,5,1,1,1,4
5/10/2026 18:31:15,1 - Male,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",4,4,3,4,4,5,5,4,5,5,4,4,5,4,5,4,4,4,4,4,5,5,4,4,5,4,4,5
5/10/2026 18:38:34,1 - Male,3 - 26 - 40,"2 - Non-IT Related (e.g., Humanities, Management)",4 - 4th,"Smartphone, Laptop",5,5,5,5,5,5,5,1,1,1,1,2,1,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5
5/10/2026 19:29:26,2 - Female,3 - 26 - 40,1 - IT/Computer Science,4 - 4th,"Smartphone, Laptop, Tablet",5,5,5,5,5,5,5,4,2,4,1,5,1,1,5,5,3,5,5,5,5,4,5,5,4,1,2,5
5/10/2026 19:37:42,2 - Female,3 - 26 - 40,"2 - Non-IT Related (e.g., Humanities, Management)",2 - 2nd,"Smartphone, Laptop",5,5,5,5,5,5,5,2,1,3,1,1,1,1,3,5,5,5,5,5,5,5,2,5,3,4,1,5
5/10/2026 19:43:31,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,Smartphone,5,5,4,3,5,5,3,1,1,5,5,1,4,1,1,5,5,1,1,5,5,5,1,5,1,2,2,5
5/10/2026 19:50:06,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",2 - 2nd,"Smartphone, Laptop",4,5,3,3,5,5,5,1,1,1,1,2,1,1,4,4,4,4,5,5,5,5,3,5,3,2,1,4
5/10/2026 20:07:58,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,"Smartphone, Laptop, Tablet, Desktop",4,4,4,5,4,4,4,2,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4
5/10/2026 20:08:39,1 - Male,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",4 - 4th,"Smartphone, Laptop",4,4,4,4,4,4,4,2,2,4,4,4,2,2,4,4,4,5,5,5,5,5,3,4,4,2,2,4
5/10/2026 20:23:17,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",4 - 4th,"Smartphone, Laptop",5,5,4,5,5,5,5,1,1,2,1,1,1,1,5,4,5,3,2,4,4,5,5,5,5,1,1,5
5/10/2026 20:26:04,1 - Male,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",1 - 1st,"Smartphone, Laptop",4,5,5,4,4,4,4,2,1,1,2,1,1,1,4,4,4,4,4,4,4,5,4,4,2,2,1,4
5/10/2026 20:28:21,1 - Male,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",4 - 4th,Laptop,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5/10/2026 20:30:58,1 - Male,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",2 - 2nd,"Smartphone, Laptop, Tablet, Desktop",3,1,4,3,2,1,3,2,2,2,4,4,3,5,4,5,1,2,3,4,5,3,3,4,5,5,3,2
5/10/2026 20:45:29,1 - Male,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,Smartphone,5,5,1,5,5,3,3,5,3,5,5,5,5,5,1,2,1,5,5,3,1,5,5,5,1,5,2,2
5/10/2026 20:47:16,1 - Male,3 - 26 - 40,1 - IT/Computer Science,2 - 2nd,"Smartphone, Laptop, Tablet",5,5,5,3,5,5,4,4,1,3,1,1,1,1,3,4,3,5,5,3,3,5,3,5,4,4,1,5
5/10/2026 20:57:58,1 - Male,3 - 26 - 40,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,Smartphone,5,5,3,3,5,5,5,1,1,3,1,4,3,1,2,3,4,5,4,4,5,5,1,5,5,3,2,4
5/10/2026 22:39:46,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,Smartphone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/10/2026 23:21:09,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",4 - 4th,Smartphone,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5
5/11/2026 6:54:19,2 - Female,4 - 41 and above,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,"Smartphone, Laptop, Tablet, Desktop",5,5,5,4,4,5,5,5,1,1,1,3,2,1,4,1,3,5,5,5,5,5,5,5,4,5,5,5
